,Run,A,B,C,S_lnsBar,F_lnsBar,Al,Bl,Cl,Aq,Bq,Cq,ABll,ABlq,ABql,ABqq,ACll,AClq,ACql,ACqq,BCll,BClq,BCql,BCqq,ABClll,ABCllq,ABClql,ABCqll,ABClqq,ABCqql,ABCqlq,ABCqqq
0,1,0,0,0,13.176776433603653,-4.601842395895406,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,0.4082482904638631,0.4082482904638631,0.4082482904638631,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.3535533905932737,0.20412414523193148,0.2041241452319315,0.2041241452319315,-0.11785113019775795,-0.11785113019775795,-0.11785113019775795,0.0680413817439772
1,2,0,0,1,12.3559240969046,-3.488936295970163,-0.7071067811865475,-0.7071067811865475,0.0,0.4082482904638631,0.4082482904638631,-0.8164965809277261,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.0,0.5773502691896258,0.0,-0.3333333333333334,-0.0,0.5773502691896258,0.0,-0.3333333333333334,0.0,-0.40824829046386296,-0.0,-0.0,0.2357022603955159,0.0,0.2357022603955159,-0.1360827634879544
2,3,0,0,2,12.783357132895304,-5.939504808177246,-0.7071067811865475,-0.7071067811865475,0.7071067811865475,0.4082482904638631,0.4082482904638631,0.4082482904638631,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,0.3535533905932737,0.20412414523193148,-0.2041241452319315,-0.2041241452319315,-0.11785113019775795,0.11785113019775795,-0.11785113019775795,0.0680413817439772
3,4,0,1,0,12.552262984249937,-2.3740810946991164,-0.7071067811865475,0.0,-0.7071067811865475,0.4082482904638631,-0.8164965809277261,0.4082482904638631,-0.0,0.5773502691896258,0.0,-0.3333333333333334,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.0,0.0,0.5773502691896258,-0.3333333333333334,0.0,-0.0,-0.408248290463863,-0.0,0.2357022603955159,0.2357022603955159,0.0,-0.1360827634879544
4,5,0,1,1,12.531145633075376,-5.215202459837527,-0.7071067811865475,0.0,0.0,0.4082482904638631,-0.8164965809277261,-0.8164965809277261,-0.0,0.5773502691896258,0.0,-0.3333333333333334,-0.0,0.5773502691896258,0.0,-0.3333333333333334,0.0,-0.0,-0.0,0.6666666666666669,-0.0,0.0,0.0,0.0,-0.4714045207910318,-0.0,-0.0,0.2721655269759088
5,6,0,1,2,13.246130251911428,-4.287929311294774,-0.7071067811865475,0.0,0.7071067811865475,0.4082482904638631,-0.8164965809277261,0.4082482904638631,-0.0,0.5773502691896258,0.0,-0.3333333333333334,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,0.0,0.0,-0.5773502691896258,-0.3333333333333334,-0.0,-0.0,0.408248290463863,0.0,0.2357022603955159,-0.2357022603955159,0.0,-0.1360827634879544
6,7,0,2,0,11.519169265150676,-1.6926383783602466,-0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.4082482904638631,0.4082482904638631,0.4082482904638631,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.4999999999999999,0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.3535533905932737,-0.20412414523193148,0.2041241452319315,-0.2041241452319315,-0.11785113019775795,-0.11785113019775795,0.11785113019775795,0.0680413817439772
7,8,0,2,1,11.29423863437296,-2.9181541389086187,-0.7071067811865475,0.7071067811865475,0.0,0.4082482904638631,0.4082482904638631,-0.8164965809277261,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,-0.0,0.5773502691896258,0.0,-0.3333333333333334,0.0,-0.5773502691896258,0.0,-0.3333333333333334,-0.0,0.40824829046386296,-0.0,0.0,0.2357022603955159,0.0,-0.2357022603955159,-0.1360827634879544
8,9,0,2,2,12.35129357353627,-3.788331533085592,-0.7071067811865475,0.7071067811865475,0.7071067811865475,0.4082482904638631,0.4082482904638631,0.4082482904638631,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,0.4999999999999999,0.2886751345948129,0.2886751345948129,0.1666666666666667,-0.3535533905932737,-0.20412414523193148,-0.2041241452319315,0.2041241452319315,-0.11785113019775795,0.11785113019775795,0.11785113019775795,0.0680413817439772
9,10,1,0,0,8.088664143709522,-3.2536398173045353,0.0,-0.7071067811865475,-0.7071067811865475,-0.8164965809277261,0.4082482904638631,0.4082482904638631,-0.0,0.0,0.5773502691896258,-0.3333333333333334,-0.0,0.0,0.5773502691896258,-0.3333333333333334,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.0,-0.0,-0.0,-0.408248290463863,0.0,0.2357022603955159,0.2357022603955159,-0.1360827634879544
10,11,1,0,1,13.72932647503616,-0.6423906968961582,0.0,-0.7071067811865475,0.0,-0.8164965809277261,0.4082482904638631,-0.8164965809277261,-0.0,0.0,0.5773502691896258,-0.3333333333333334,0.0,-0.0,-0.0,0.6666666666666669,-0.0,0.5773502691896258,0.0,-0.3333333333333334,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.4714045207910318,0.2721655269759088
11,12,1,0,2,10.236059335123967,-4.015533381797808,0.0,-0.7071067811865475,0.7071067811865475,-0.8164965809277261,0.4082482904638631,0.4082482904638631,-0.0,0.0,0.5773502691896258,-0.3333333333333334,0.0,0.0,-0.5773502691896258,-0.3333333333333334,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,-0.0,-0.0,0.0,0.408248290463863,0.0,-0.2357022603955159,0.2357022603955159,-0.1360827634879544
12,13,1,1,0,7.88344635413774,-2.4694270789396136,0.0,0.0,-0.7071067811865475,-0.8164965809277261,-0.8164965809277261,0.4082482904638631,0.0,-0.0,-0.0,0.6666666666666669,-0.0,0.0,0.5773502691896258,-0.3333333333333334,-0.0,0.0,0.5773502691896258,-0.3333333333333334,-0.0,0.0,0.0,0.0,-0.0,-0.4714045207910318,-0.0,0.2721655269759088
13,14,1,1,1,7.960090908645113,-2.7865524292571666,0.0,0.0,0.0,-0.8164965809277261,-0.8164965809277261,-0.8164965809277261,0.0,-0.0,-0.0,0.6666666666666669,0.0,-0.0,-0.0,0.6666666666666669,0.0,-0.0,-0.0,0.6666666666666669,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.5443310539518176
14,15,1,1,2,7.110696122978827,-2.174778388506389,0.0,0.0,0.7071067811865475,-0.8164965809277261,-0.8164965809277261,0.4082482904638631,0.0,-0.0,-0.0,0.6666666666666669,0.0,0.0,-0.5773502691896258,-0.3333333333333334,0.0,0.0,-0.5773502691896258,-0.3333333333333334,0.0,0.0,-0.0,-0.0,-0.0,0.4714045207910318,-0.0,0.2721655269759088
15,16,1,2,0,11.04762011483935,-1.66231140204117,0.0,0.7071067811865475,-0.7071067811865475,-0.8164965809277261,0.4082482904638631,0.4082482904638631,0.0,0.0,-0.5773502691896258,-0.3333333333333334,-0.0,0.0,0.5773502691896258,-0.3333333333333334,-0.4999999999999999,0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.0,0.0,-0.0,0.408248290463863,0.0,0.2357022603955159,-0.2357022603955159,-0.1360827634879544
16,17,1,2,1,13.983839957273034,-0.367832193301314,0.0,0.7071067811865475,0.0,-0.8164965809277261,0.4082482904638631,-0.8164965809277261,0.0,0.0,-0.5773502691896258,-0.3333333333333334,0.0,-0.0,-0.0,0.6666666666666669,0.0,-0.5773502691896258,0.0,-0.3333333333333334,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.4714045207910318,0.2721655269759088
17,18,1,2,2,12.161279233694785,-2.379106230901789,0.0,0.7071067811865475,0.7071067811865475,-0.8164965809277261,0.4082482904638631,0.4082482904638631,0.0,0.0,-0.5773502691896258,-0.3333333333333334,0.0,0.0,-0.5773502691896258,-0.3333333333333334,0.4999999999999999,0.2886751345948129,0.2886751345948129,0.1666666666666667,0.0,0.0,0.0,-0.408248290463863,0.0,-0.2357022603955159,-0.2357022603955159,-0.1360827634879544
18,19,2,0,0,12.362483626094859,-0.20969275359008777,0.7071067811865475,-0.7071067811865475,-0.7071067811865475,0.4082482904638631,0.4082482904638631,0.4082482904638631,-0.4999999999999999,0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.4999999999999999,0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.4999999999999999,-0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.3535533905932737,-0.20412414523193148,-0.2041241452319315,0.2041241452319315,0.11785113019775795,-0.11785113019775795,-0.11785113019775795,0.0680413817439772
19,20,2,0,1,9.69393867348769,-1.2549152830635129,0.7071067811865475,-0.7071067811865475,0.0,0.4082482904638631,0.4082482904638631,-0.8164965809277261,-0.4999999999999999,0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.0,-0.5773502691896258,0.0,-0.3333333333333334,-0.0,0.5773502691896258,0.0,-0.3333333333333334,-0.0,0.40824829046386296,0.0,-0.0,-0.2357022603955159,0.0,0.2357022603955159,-0.1360827634879544
20,21,2,0,2,11.14813674078161,-3.125840958901011,0.7071067811865475,-0.7071067811865475,0.7071067811865475,0.4082482904638631,0.4082482904638631,0.4082482904638631,-0.4999999999999999,0.2886751345948129,-0.2886751345948129,0.1666666666666667,0.4999999999999999,0.2886751345948129,0.2886751345948129,0.1666666666666667,-0.4999999999999999,-0.2886751345948129,0.2886751345948129,0.1666666666666667,-0.3535533905932737,-0.20412414523193148,0.2041241452319315,-0.2041241452319315,0.11785113019775795,0.11785113019775795,-0.11785113019775795,0.0680413817439772
21,22,2,1,0,9.39568513206014,-2.0863990222473308,0.7071067811865475,0.0,-0.7071067811865475,0.4082482904638631,-0.8164965809277261,0.4082482904638631,0.0,-0.5773502691896258,0.0,-0.3333333333333334,-0.4999999999999999,0.2886751345948129,-0.2886751345948129,0.1666666666666667,-0.0,0.0,0.5773502691896258,-0.3333333333333334,-0.0,0.0,0.408248290463863,-0.0,-0.2357022603955159,0.2357022603955159,0.0,-0.1360827634879544
22,23,2,1,1,9.224769108628303,-2.481313114277873,0.7071067811865475,0.0,0.0,0.4082482904638631,-0.8164965809277261,-0.8164965809277261,0.0,-0.5773502691896258,0.0,-0.3333333333333334,0.0,-0.5773502691896258,0.0,-0.3333333333333334,0.0,-0.0,-0.0,0.6666666666666669,0.0,-0.0,-0.0,0.0,0.4714045207910318,-0.0,-0.0,0.2721655269759088
23,24,2,1,2,9.97222039021722,-0.7764563283562529,0.7071067811865475,0.0,0.7071067811865475,0.4082482904638631,-0.8164965809277261,0.4082482904638631,0.0,-0.5773502691896258,0.0,-0.3333333333333334,0.4999999999999999,0.2886751345948129,0.2886751345948129,0.1666666666666667,0.0,0.0,-0.5773502691896258,-0.3333333333333334,0.0,0.0,-0.408248290463863,0.0,-0.2357022603955159,-0.2357022603955159,0.0,-0.1360827634879544
