,Var1,FactEff,t_PSE,IER_Alpha,Significant
0,Al,-1.702650558267678,-3.99,2.08,Significant
1,Bl,-0.22591002159166307,-0.53,2.08,Not Significant
2,Cl,0.10264889759194953,0.24,2.08,Not Significant
3,Aq,0.7959638291953991,1.87,2.08,Not Significant
4,Bq,1.1122985224899533,2.61,2.08,Significant
5,Cq,-0.40229631766117807,-0.94,2.08,Not Significant
6,ABl,-1.0039327424642832,-2.35,2.08,Significant
7,ABq,-0.09189821472108765,-0.22,2.08,Not Significant
8,AB2l,1.5017915212730073,3.52,2.08,Significant
9,AB2q,0.3046501555301123,0.71,2.08,Not Significant
10,ACl,0.7697073046369759,1.8,2.08,Not Significant
11,ACq,0.7501772101354505,1.76,2.08,Not Significant
12,AC2l,-0.3863752274633555,-0.91,2.08,Not Significant
13,AC2q,0.4759892046321786,1.12,2.08,Not Significant
14,BCl,-0.24553753731468156,-0.58,2.08,Not Significant
15,BCq,-0.03934238024215231,-0.09,2.08,Not Significant
16,BC2l,0.19603202129686687,0.46,2.08,Not Significant
17,BC2q,-0.19868286157481516,-0.47,2.08,Not Significant
18,ABCl,0.6999514500031032,1.64,2.08,Not Significant
19,ABCq,0.1826102721135351,0.43,2.08,Not Significant
20,ABC2l,-0.13324226049055216,-0.31,2.08,Not Significant
21,ABC2q,0.4968981264981801,1.16,2.08,Not Significant
22,AB2Cl,-0.11003553476102322,-0.26,2.08,Not Significant
23,AB2Cq,0.26426341911620516,0.62,2.08,Not Significant
24,AB2C2l,-0.21100591852709683,-0.49,2.08,Not Significant
25,AB2C2q,0.6433386389724426,1.51,2.08,Not Significant
